 -2.4308e-321   1.2137e-02   3.2856e-02   7.3297e-02   1.4832e-01   2.7448e-01   4.6348e-01   7.1283e-01   1.0000e+00
 -2.2480e-321   1.3019e-02   3.4862e-02   7.6768e-02   1.5339e-01   2.8063e-01   4.6932e-01   7.1647e-01   1.0000e+00
 -2.0701e-321   1.3924e-02   3.6899e-02   8.0248e-02   1.5839e-01   2.8664e-01   4.7499e-01   7.1997e-01   1.0000e+00
 -1.9022e-321   1.4851e-02   3.8965e-02   8.3733e-02   1.6335e-01   2.9252e-01   4.8048e-01   7.2335e-01   1.0000e+00
 -1.7441e-321   1.5797e-02   4.1055e-02   8.7219e-02   1.6825e-01   2.9827e-01   4.8580e-01   7.2661e-01   1.0000e+00
 -1.5909e-321   1.6761e-02   4.3168e-02   9.0704e-02   1.7309e-01   3.0390e-01   4.9097e-01   7.2976e-01   1.0000e+00
 -1.4476e-321   1.7743e-02   4.5301e-02   9.4185e-02   1.7787e-01   3.0940e-01   4.9600e-01   7.3280e-01   1.0000e+00
 -1.3142e-321   1.8740e-02   4.7451e-02   9.7658e-02   1.8260e-01   3.1479e-01   5.0087e-01   7.3574e-01   1.0000e+00
 -1.1907e-321   1.9751e-02   4.9615e-02   1.0112e-01   1.8727e-01   3.2007e-01   5.0562e-01   7.3858e-01   1.0000e+00
 -1.0771e-321   2.0775e-02   5.1791e-02   1.0457e-01   1.9187e-01   3.2523e-01   5.1023e-01   7.4134e-01   1.0000e+00
 -9.7331e-322   2.1811e-02   5.3978e-02   1.0801e-01   1.9642e-01   3.3029e-01   5.1471e-01   7.4401e-01   1.0000e+00
 -8.7450e-322   2.2857e-02   5.6172e-02   1.1143e-01   2.0090e-01   3.3524e-01   5.1908e-01   7.4660e-01   1.0000e+00
 -7.8556e-322   2.3912e-02   5.8373e-02   1.1484e-01   2.0533e-01   3.4009e-01   5.2333e-01   7.4911e-01   1.0000e+00
 -7.0651e-322   2.4974e-02   6.0577e-02   1.1822e-01   2.0970e-01   3.4484e-01   5.2748e-01   7.5155e-01   1.0000e+00
 -6.2746e-322   2.6044e-02   6.2783e-02   1.2158e-01   2.1400e-01   3.4949e-01   5.3151e-01   7.5391e-01   1.0000e+00
 -5.5829e-322   2.7119e-02   6.4989e-02   1.2492e-01   2.1825e-01   3.5405e-01   5.3545e-01   7.5622e-01   1.0000e+00
 -4.9407e-322   2.8199e-02   6.7194e-02   1.2824e-01   2.2244e-01   3.5852e-01   5.3929e-01   7.5845e-01   1.0000e+00
 -4.3478e-322   2.9282e-02   6.9395e-02   1.3153e-01   2.2657e-01   3.6290e-01   5.4304e-01   7.6063e-01   1.0000e+00
 -3.8537e-322   3.0368e-02   7.1593e-02   1.3479e-01   2.3064e-01   3.6719e-01   5.4669e-01   7.6275e-01   1.0000e+00
 -3.4091e-322   3.1455e-02   7.3784e-02   1.3803e-01   2.3465e-01   3.7140e-01   5.5026e-01   7.6481e-01   1.0000e+00
 -3.0632e-322   3.2543e-02   7.5969e-02   1.4124e-01   2.3861e-01   3.7553e-01   5.5375e-01   7.6682e-01   1.0000e+00
 -2.7174e-322   3.3631e-02   7.8145e-02   1.4442e-01   2.4251e-01   3.7958e-01   5.5715e-01   7.6878e-01   1.0000e+00
 -2.4209e-322   3.4719e-02   8.0312e-02   1.4757e-01   2.4635e-01   3.8355e-01   5.6048e-01   7.7069e-01   1.0000e+00
 -2.1245e-322   3.5805e-02   8.2468e-02   1.5069e-01   2.5014e-01   3.8745e-01   5.6374e-01   7.7255e-01   1.0000e+00
 -1.8774e-322   3.6888e-02   8.4613e-02   1.5378e-01   2.5387e-01   3.9127e-01   5.6692e-01   7.7437e-01   1.0000e+00
 -1.6798e-322   3.7969e-02   8.6745e-02   1.5684e-01   2.5755e-01   3.9503e-01   5.7003e-01   7.7615e-01   1.0000e+00
 -1.4328e-322   3.9046e-02   8.8864e-02   1.5987e-01   2.6117e-01   3.9871e-01   5.7307e-01   7.7788e-01   1.0000e+00
 -1.2352e-322   4.0119e-02   9.0969e-02   1.6287e-01   2.6474e-01   4.0232e-01   5.7605e-01   7.7957e-01   1.0000e+00
 -1.0869e-322   4.1188e-02   9.3060e-02   1.6584e-01   2.6826e-01   4.0587e-01   5.7897e-01   7.8122e-01   1.0000e+00
 -9.3872e-323   4.2251e-02   9.5135e-02   1.6877e-01   2.7173e-01   4.0936e-01   5.8182e-01   7.8284e-01   1.0000e+00
 -8.3991e-323   4.3309e-02   9.7194e-02   1.7167e-01   2.7514e-01   4.1278e-01   5.8462e-01   7.8442e-01   1.0000e+00
 -7.4110e-323   4.4360e-02   9.9236e-02   1.7454e-01   2.7851e-01   4.1614e-01   5.8736e-01   7.8596e-01   1.0000e+00
 -6.9169e-323   4.5405e-02   1.0126e-01   1.7737e-01   2.8182e-01   4.1944e-01   5.9004e-01   7.8747e-01   1.0000e+00
 -6.4229e-323   4.6443e-02   1.0327e-01   1.8017e-01   2.8509e-01   4.2268e-01   5.9267e-01   7.8895e-01   1.0000e+00
 -5.4347e-323   4.7474e-02   1.0526e-01   1.8294e-01   2.8831e-01   4.2586e-01   5.9524e-01   7.9039e-01   1.0000e+00
 -4.4466e-323   4.8498e-02   1.0723e-01   1.8568e-01   2.9148e-01   4.2899e-01   5.9777e-01   7.9181e-01   1.0000e+00
 -3.9525e-323   4.9513e-02   1.0918e-01   1.8838e-01   2.9460e-01   4.3206e-01   6.0025e-01   7.9319e-01   1.0000e+00
 -3.4585e-323   5.0521e-02   1.1112e-01   1.9105e-01   2.9768e-01   4.3508e-01   6.0267e-01   7.9455e-01   1.0000e+00
 -2.9644e-323   5.1520e-02   1.1303e-01   1.9369e-01   3.0071e-01   4.3805e-01   6.0506e-01   7.9588e-01   1.0000e+00
 -2.4703e-323   5.2511e-02   1.1493e-01   1.9629e-01   3.0370e-01   4.4096e-01   6.0739e-01   7.9718e-01   1.0000e+00
 -1.9763e-323   5.3492e-02   1.1680e-01   1.9886e-01   3.0664e-01   4.4383e-01   6.0968e-01   7.9846e-01   1.0000e+00
 -1.4822e-323   5.4465e-02   1.1866e-01   2.0140e-01   3.0954e-01   4.4665e-01   6.1193e-01   7.9971e-01   1.0000e+00
 -1.4822e-323   5.5428e-02   1.2049e-01   2.0391e-01   3.1239e-01   4.4942e-01   6.1414e-01   8.0094e-01   1.0000e+00
 -1.4822e-323   5.6382e-02   1.2231e-01   2.0638e-01   3.1520e-01   4.5214e-01   6.1631e-01   8.0214e-01   1.0000e+00
 -1.4822e-323   5.7327e-02   1.2410e-01   2.0882e-01   3.1797e-01   4.5482e-01   6.1843e-01   8.0332e-01   1.0000e+00
 -1.4822e-323   5.8262e-02   1.2588e-01   2.1123e-01   3.2070e-01   4.5745e-01   6.2052e-01   8.0448e-01   1.0000e+00
 -1.4822e-323   5.9188e-02   1.2763e-01   2.1361e-01   3.2339e-01   4.6004e-01   6.2257e-01   8.0561e-01   1.0000e+00
 -1.4822e-323   6.0103e-02   1.2936e-01   2.1596e-01   3.2604e-01   4.6258e-01   6.2459e-01   8.0672e-01   1.0000e+00
 -1.4822e-323   6.1009e-02   1.3108e-01   2.1828e-01   3.2864e-01   4.6509e-01   6.2656e-01   8.0782e-01   1.0000e+00
 -1.4822e-323   6.1905e-02   1.3277e-01   2.2056e-01   3.3121e-01   4.6755e-01   6.2851e-01   8.0889e-01   1.0000e+00
 -1.4822e-323   6.2791e-02   1.3444e-01   2.2282e-01   3.3374e-01   4.6997e-01   6.3041e-01   8.0994e-01   1.0000e+00
 -1.4822e-323   6.3667e-02   1.3609e-01   2.2504e-01   3.3623e-01   4.7235e-01   6.3229e-01   8.1098e-01   1.0000e+00
 -1.4822e-323   6.4533e-02   1.3773e-01   2.2724e-01   3.3869e-01   4.7470e-01   6.3413e-01   8.1199e-01   1.0000e+00
 -1.4822e-323   6.5389e-02   1.3934e-01   2.2940e-01   3.4111e-01   4.7700e-01   6.3594e-01   8.1299e-01   1.0000e+00
